Intensity,R,G,B
0,0.005864640558989775,0,0
0,0.006885453768231159,0,0
0,0.007884115402423786,0,0
0,0.0075021212891162314,0,0
0,0.008242437781377537,0,0
0,0.007891949738606657,0,0
0,0.007260141565724382,0,0
0,0.006313458230360475,0,0
0,0.005548135316458341,0,0
0,0.00500777134346736,0,0
0,0.004625598104245621,0,0
0,0.004627928635458134,0,0
0,0.004687962066860674,0,0
0,0.004471060195855525,0,0
0,0.005210119522647549,0,0
0,0.005395860998524404,0,0
0,0.0048423866771796775,0,0
0,0.004680395903507217,0,0
0,0.0046166489103647845,0,0
0,0.005010835143491377,0,0
0,0.004995110594606167,0,0
0,0.004356289729933294,0,0
0,0.003673009098999813,0,0
0,0.00407580490079712,0,0
0,0.004697999148039422,0,0
0,0.0052261235165553255,0,0
0,0.005345756480110042,0,0
0,0.005496774006256977,0,0
0,0.005400730195534775,0,0
0,0.004374842789572675,0,0
0,0.0037000048080913506,0,0
0,0.004315718899044918,0,0
0,0.004371835675101576,0,0
0,0.00434605564495022,0,0
0,0.004966402571447759,0,0
0,0.0042668914983433615,0,0
0,0.003401265700596179,0,0
0,0.0036106796707759403,0,0
0,0.002905313353437855,0,0
0,0.0023190476844852093,0,0
0,0.0017882401989731123,0,0
0,0.0015241604525433883,0,0
0,0.0015473341181355127,0,0
0,0.0017169795151632528,0,0
0,0.0022111293109381425,0,0
0,0.002181660978304689,0,0
0,0.002055483176298334,0,0
0,0.0015975180471309858,0,0
0,0.0012240302237072065,0,0
0,0.0008948255062432575,0,0
0,0.0009326498349731538,0,0
0,0.0008434493561179091,0,0
0,0.0004948987646873348,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.0001441821823462211,0
0,0,0,0
0,0,0,0
0,0,0.0000676226245620408,0
0,0,0.00011285909351774551,0
0,0,0.00012314145009700156,0
0,0,0.00010600185488113256,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.00016674042482463583,0
0,0,0,0
0,0,0.00028455428311607855,0
0,0,0.00044519556957350534,0
0,0,0.0003342962651245729,0
0,0,0.0005252239220924354,0
0,0,0.000056985567575339874,0
0,0,0.00016949745491463483,0
0,0,0.0005732183089507438,0
0,0,0.0007125662411035967,0
0,0,0.0009006610228685652,0
0,0,0.0008190242411131206,0
0,0,0.0009507204619836548,0
0,0,0.00085502432236962,0
0,0,0.0008070981907877875,0
0,0,0.0010924733714505405,0
0,0,0.000946610902643745,0
0,0,0.0010971053843186196,0
0,0,0.0012028732581829751,0
0,0,0.0011257651425195386,0
0,0,0.0009025034649516386,0
0,0,0.0005721794581846698,0
0,0,0.000846579858679225,0
0,0,0.00120676242543781,0
0,0,0.0012304911896546464,0
0,0,0.0014876447713637123,0
0,0,0.0015834450493431712,0
0,0,0.0010338956413349226,0
0,0,0.0010322137172943321,0
0,0,0.0009308911805912742,0
0,0,0.0007154329233130946,0
0,0,0.00030983084978893766,0
0,0,0.0006780504510100135,0
0,0,0.0006083249486911746,0
0,0,0.0006432653959304174,0
0,0,0.0007560392531625951,0
0,0,0.00030883792363400886,0
0,0,0.00026419744543518947,0
0,0,0.00019406907538094958,0
0,0,0,0
0,0,0,0
0,0,0.000057459929410835775,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.00009799570973406668,0
0,0,0.00035626828980120373,0
0,0,0.0005516454961281003,0
0,0,0.0007285395703844066,0
0,0,0.0009173870995248246,0
0,0,0.001030646007640662,0
0,0,0.0010905409405751743,0
0,0,0.0011394426749677389,0
0,0,0.001201526531960928,0
0,0,0.001045099281922729,0
0,0,0.001047289527896178,0
0,0,0.0009441704150787156,0
0,0,0.0008841432827733919,0
0,0,0.0010625348776009957,0
0,0,0.0009762205994390261,0
0,0,0.000898158626733897,0
0,0,0.0009060563567152846,0
0,0,0.0011020754027355473,0
0,0,0.0006016684359091695,0
0,0,0.0003348346043550998,0
0,0,0.00014595990943266912,0
0,0,0.0002585246540693642,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.000258690840787279,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.0015764044754728035,0,0
0,0.0042668848831702855,0,0
0,0.0063171702527962115,0,0
0,0.010024086381864139,0,0
0,0.012678662157297182,0,0
0,0.01571202877322736,0,0
0,0.02009126194776495,0,0
0,0.025437738123804676,0,0
0,0.029497328663866562,0,0
0,0.0314356666847499,0,0
0,0.03488235813316093,0,0
0,0.03635626839762607,0,0
0,0.038296563938994055,0,0
0.002338576347018173,0.04115897274336744,0,0
0.004307500746164039,0.04297535575772693,0,0
0.0049132064622258165,0.04403443829780446,0,0
0.005573449374968287,0.04476863423317429,0,0
0.006818318432226023,0.04501164753667952,0,0
0.006996218890627959,0.04503660930935399,0,0
0.007019040810311572,0.044851115042198575,0,0
0.00726423947896615,0.044105284323911975,0,0
0.007228018988394869,0.04404573255755795,0,0
0.00844275466492661,0.044350542167892804,0,0
0.010810955417596246,0.04612207933119977,0,0
0.01046224974722254,0.04644672718630638,0,0
0.010506749758409262,0.046382063026817744,0,0
0.011019716097734222,0.0461690014990766,0,0
0.011976793989647683,0.04596888396681065,0,0
0.012579005562450063,0.04617506881286021,0,0
0.01218275850143391,0.04582188135185311,0.00006636024898276638,0
0.013940511513751197,0.04718505811845358,0,0
0.01379299764101194,0.04711930971636907,0.00003419287031414253,0
0.01381635713409235,0.04701038527176932,0.0003238527093065713,0
0.013804978924847444,0.04645685502649827,0.000979761776366217,0
0.014016001348701956,0.046504343924027025,0.001291623968776745,0
0.014844719177885657,0.04679661021857806,0.0016580847588887893,0
0.01609655583524705,0.047434540284991944,0.001894747996584123,0
0.01831618914612909,0.049100317372218594,0.0017214830013820293,0
0.01761163045838343,0.04876921754732283,0.0017207374304051282,0
0.017694798977646586,0.0486293445062691,0.0022945900168273026,0
0.018014511601089578,0.048361027724281636,0.0033935384705556793,0
0.01836492241385701,0.048525379742488495,0.003852168397855016,0
0.018253610578249035,0.048625789435174815,0.0041366632832903205,0
0.01989602427995718,0.049159868589887745,0.004111858188811324,0
0.020503862544139384,0.04933942013981729,0.004059873941150871,0
0.020368304093067335,0.04942410026231725,0.004110461115775177,0
0.01971096393704863,0.049188011475635424,0.00424032554645043,0
0.020270287527135777,0.049347724404982,0.004779853457126004,0
0.020932898973652025,0.04964057663604948,0.0050984682812179605,0
0.02192168723582333,0.04992774610985401,0.005633001715803609,0
0.022304813889719388,0.049200319858191066,0.006161315783350163,0
0.022589465401060882,0.049404585898566195,0.006171766285258895,0
0.022750740401946135,0.049824428565257484,0.006250220893076364,0
0.02315773227513307,0.05023551572013024,0.006389209499462756,0
0.023203914254018687,0.05060598439248351,0.006350441625443459,0
0.023943890114802358,0.05112943019786895,0.0066428671545343265,0
0.024931833185232177,0.05135290157918895,0.007073595964780743,0
0.026874091592155924,0.05123076549437772,0.007661889205915207,0
0.027296881556054364,0.05145756147147715,0.007729953114999688,0
0.02734611105375373,0.051716729522673505,0.007926390287711527,0
0.028239223740521346,0.05231868258571373,0.008162360564081705,0
0.027711848508911063,0.05228505550206897,0.007940772353202397,0
0.028074161699164324,0.052557686253127206,0.008099889320575149,0
0.028961284965779432,0.052420012875277644,0.008412310129582823,0
0.029409419517648083,0.05232963507935526,0.008455323451127872,0
0.030103361529915218,0.05265698168113725,0.008663838583858108,0
0.03095930846500905,0.05301000162557706,0.00894821086611619,0
0.03168561433837902,0.0532040215457634,0.008965824807968426,0
0.03203382019088019,0.05337516756107202,0.00897177210691863,0
0.03215665391509681,0.05355717807472371,0.008963268541163083,0
0.032108031379325386,0.05368771591662347,0.009306822740522747,0
0.03258969504419873,0.05390181748370981,0.00926903622056674,0
0.03276631240175876,0.05408181497249018,0.009331533205360676,0
0.033935221442326635,0.054576539166946214,0.009539588821782685,0
0.034668975207707176,0.05485877501249389,0.00969353317412569,0
0.03487730248247656,0.054944940130815634,0.009756028882460632,0
0.03565373220813761,0.05532413969964345,0.009724351572617362,0
0.036711149791566755,0.05593458110347996,0.009666739095617827,0
0.03721529799298451,0.05622570179035333,0.009777582239660687,0
0.03858991165342529,0.056731927823084755,0.010071041435011363,0
0.0391292591743031,0.056877513309289196,0.009956095915894081,0
0.039049053127425126,0.05682774093069573,0.009876743096447038,0
0.03981884855170548,0.057030525912461216,0.010168944889977882,0
0.04090666037553947,0.058013561872766906,0.010061734499838215,0
0.04152829167665617,0.05827166918951057,0.010028493011150275,0
0.04211133907819575,0.05840883466209215,0.010264137623411274,0
0.042757406850966295,0.05852269774265473,0.010432106742198799,0
0.04333088755745951,0.05859268767503556,0.01042789035680003,0
0.0440441482757471,0.05887791850749871,0.010655968594227572,0
0.045113725081989964,0.05921402520542984,0.010770073131740443,0
0.04545857372741691,0.05940180664254344,0.011212388905842141,0
0.04587598006548865,0.059623142251197914,0.011417604616223098,0
0.046189224087782255,0.059702716757805835,0.011507117612208018,0
0.046937011457721334,0.059898225884712136,0.011540126496146996,0
0.046638735350605476,0.059990156800114935,0.011456519209127602,0
0.047495172039367595,0.06045398929339224,0.011682710172207511,0
0.04945725320434724,0.06127795504362049,0.012049139854603763,0
0.05057513275534742,0.06175428449235218,0.012142445985462269,0
