Intensity,R,G,B
-0.04458795541210685,-0.014647280905988169,-0.01519925406691841,-0.014741420439200261
-0.0441871734628227,-0.01444687305478729,-0.015220147122495205,-0.014520153285540231
-0.046077512186478986,-0.014806839179988833,-0.016057131250936593,-0.015213541755553582
-0.04388920765804934,-0.013896921623535587,-0.015475623831751092,-0.014516662202762643
-0.04542159165078981,-0.014267100370167674,-0.015931085037410753,-0.015223406243211418
-0.04679739614824177,-0.014849009547681556,-0.016218004168730343,-0.01573038243182986
-0.04498874922562916,-0.014028371777245308,-0.015601897748816033,-0.015358479699567815
-0.04709912182236315,-0.014926513375675594,-0.016134471067291618,-0.016038137379395943
-0.0460359692147434,-0.014580458612087212,-0.015879334375140747,-0.015576176227515434
-0.04648340103282387,-0.014644776549009043,-0.016547036253726367,-0.01529158823008846
-0.04909569624108548,-0.015555388278502355,-0.018000695731514256,-0.015539612231068884
-0.04983055751148359,-0.015750562819080494,-0.01863428646303051,-0.0154457082293726
-0.04969341317975198,-0.015843045735970604,-0.018478633428899625,-0.015371734014881733
-0.04715271915356871,-0.014905631759157822,-0.01738286149189789,-0.014864225902512997
-0.05001703230010446,-0.01598891481585272,-0.018054546950469957,-0.01597357053378176
-0.048861102148455224,-0.01590141112555403,-0.017248260513004786,-0.015711430509896415
-0.048189395782569006,-0.01578373463871152,-0.01671652456037473,-0.015689136583482734
-0.04888229492223625,-0.016158884374299895,-0.016722324149399635,-0.016001086398536722
-0.048212017127309534,-0.01606277170305893,-0.016530313306902855,-0.015618932117347745
-0.049135098890167095,-0.01620219820582955,-0.017062788279344702,-0.015870112404992868
-0.04986111656795243,-0.01627237739643067,-0.017837664175547954,-0.01575107499597376
-0.050602582253228535,-0.016355512516668738,-0.018388274910391085,-0.01585879482616874
-0.05216397568961913,-0.01691015705724539,-0.018951482632496408,-0.016302335999877307
-0.049717508380902234,-0.01636193418106702,-0.017983826868352898,-0.01537174733148228
-0.05073838841286255,-0.016692317444045077,-0.018400492011129192,-0.015645578957688307
-0.05146580847937267,-0.016978192916749145,-0.01898876415503027,-0.015498851407593283
-0.052339140164918405,-0.017118509345371145,-0.01950517864363111,-0.015715452175916182
-0.05261618487726104,-0.017447493450875116,-0.019302548271785833,-0.015866143154600085
-0.05132768189651936,-0.01710089235306602,-0.018722360231252906,-0.015504429312200432
-0.05171096715418594,-0.017271019631400097,-0.01875018844470859,-0.01568975907807724
-0.05217270915127603,-0.0174743889121693,-0.0189501185099355,-0.01574820172917126
-0.0533002464736497,-0.017748552850234328,-0.01952609316197776,-0.01602560046143761
-0.0543078769433423,-0.018126710764220733,-0.019942152518568616,-0.016239013660552918
-0.05356797909342506,-0.017912158418569565,-0.019729350869684796,-0.015926469805170707
-0.054196682310291316,-0.018340209221617325,-0.01969811607725331,-0.016158357011420682
-0.05466418871390924,-0.018641574766406085,-0.01949385687924595,-0.01652875706825723
-0.054583863564564516,-0.01874406879687258,-0.019301965736462014,-0.016537829031229922
-0.05502903498764124,-0.01889757877360273,-0.01953428544445452,-0.016597170769583988
-0.05378972101914366,-0.018431468598627092,-0.019243340637898253,-0.016114911782618327
-0.05623827799123782,-0.0191866153469665,-0.020164078484454624,-0.016887584159816674
-0.05778765176464121,-0.019717879567761644,-0.02112999925771674,-0.01693977293916282
-0.057916492531172356,-0.019776320951952378,-0.02137384888773545,-0.016766322691484557
-0.058642138422658904,-0.02002696776876776,-0.021731940301016953,-0.01688323035287418
-0.05749481019471582,-0.019617418152173532,-0.02131084763281821,-0.016566544409724084
-0.05815345981563591,-0.01987838501538471,-0.02131551264311131,-0.016959562157139896
-0.05833948835636103,-0.019989632436192815,-0.021110068352148792,-0.0172397875680194
-0.05937404886942643,-0.020333796201695443,-0.021287502048307594,-0.017752750619423385
-0.05997833412754197,-0.020825481995744133,-0.021481051510792,-0.017671800621005818
-0.06067071875989716,-0.020979558529814254,-0.022122791436627112,-0.0175683687934558
-0.06183904910575641,-0.021299648574871738,-0.022974242403510134,-0.01756515812737456
-0.06258653043221565,-0.021550032054471313,-0.023463390083406296,-0.017573108294338044
-0.06278576967467617,-0.021725567886510762,-0.02341970939530872,-0.017640492392856685
-0.0631270151868633,-0.022050570747753438,-0.02317064506291605,-0.0179057993761938
-0.0626348440883654,-0.02171386083493511,-0.022895742535423445,-0.01802524071800684
-0.0649725606497919,-0.02257693626541594,-0.023585566385276625,-0.018810057999099378
-0.06456529025543158,-0.022556210317219702,-0.023388945307784258,-0.018620134630427616
-0.06543997603669204,-0.02299180790908655,-0.023684749848433807,-0.018763418279171676
-0.06661671361977431,-0.023549560722303492,-0.024187577358924538,-0.018879575538546276
-0.06721825462214426,-0.023848406302337876,-0.02456941605248173,-0.01880043226732464
-0.06910530684662465,-0.02454565673030779,-0.025275704622735096,-0.019283945493581773
-0.06900603837881816,-0.02449268872959041,-0.02552960650129444,-0.018983743147933316
-0.06872414654222164,-0.02462212652337152,-0.025292322157817106,-0.018809697861033023
-0.07026969187452548,-0.025379502873960597,-0.02558250583834821,-0.019307683162216677
-0.0686623689854437,-0.02504932349732219,-0.024844072264232887,-0.018768973223888624
-0.07117260164708537,-0.026010977656158833,-0.025677565537142365,-0.019484058453784214
-0.0714384437931702,-0.026160953111196247,-0.02583570583440841,-0.019441784847565566
-0.07275348189694987,-0.026477069901762133,-0.02644244100988785,-0.019833970985299834
-0.07378031355250983,-0.026744088405009706,-0.0270104006670702,-0.02002582448042994
-0.07322176609879938,-0.02667013925152135,-0.02695249885865867,-0.019599127988619354
-0.07506870564899311,-0.027370771004574027,-0.027760098184178232,-0.019937836460240874
-0.07475479950740072,-0.02729825299953946,-0.027805768161183644,-0.019650778346677573
-0.07643953905399659,-0.027819215219709516,-0.02836765991994332,-0.02025266391434378
-0.07643777215260321,-0.027746756760090103,-0.028289141712078067,-0.020401873680435056
-0.07567419412183402,-0.02760562271995327,-0.02796837124292597,-0.020100200158954744
-0.07712412944918941,-0.028196436400890944,-0.028616281248576132,-0.020311411799722318
-0.07821641665780454,-0.028628564010637056,-0.029306222117579495,-0.020281630529588014
-0.0783414830224739,-0.028832711536248376,-0.029453036760845812,-0.020055734725379706
-0.07979770084747255,-0.02962839096591941,-0.029742429874852594,-0.020426880006700513
-0.07828971909313015,-0.02940890014814658,-0.02898382847295905,-0.01989699047202451
-0.08024018464455052,-0.030243216830428726,-0.029484757317193855,-0.020512210496927957
-0.0796650704822083,-0.030099657905064404,-0.02952149709978749,-0.020043915477356372
-0.07996160499581294,-0.03033553806513311,-0.029598674843431975,-0.02002739208724788
-0.07952441570773641,-0.03032501642044668,-0.029373265283512875,-0.01982613400377687
-0.0786618865476268,-0.030235410577914387,-0.028946643765055506,-0.019479832204656905
-0.07952904718142592,-0.030788268590806266,-0.029069795610699577,-0.01967098297992006
-0.07980711605410626,-0.031016738298338606,-0.028988709722876357,-0.019801668032891257
-0.0801303419487823,-0.031257526703973255,-0.02917219174451518,-0.0197006235002938
-0.08231918088977343,-0.032108303252048664,-0.030070546761918122,-0.020140330875806668
-0.08212046253986165,-0.03218466921875358,-0.02993493059556708,-0.02000086272554095
-0.0817759723546504,-0.03222401995204461,-0.029608281389802135,-0.01994367101280363
-0.08135164069297551,-0.032276244077965185,-0.029155781801577983,-0.019919614813432376
-0.08156383494317596,-0.03251734636788292,-0.028909711064932446,-0.02013677751036058
-0.08148028229631467,-0.03248998006305645,-0.02883325807234885,-0.020157044160909368
-0.08063687650425976,-0.03225209375859972,-0.028865810265508204,-0.019518972480151834
-0.08314456688432471,-0.033270152644583356,-0.02967712434298902,-0.020197289896752346
-0.08185440546249753,-0.03322655560447158,-0.029066685289951766,-0.019561164568074173
-0.08304706542973139,-0.033980038703683324,-0.02930284142150731,-0.019764185304540802
-0.08293142566237008,-0.03435791643351398,-0.029071843493470903,-0.019501665735385188
-0.08199508610381465,-0.03436139836706196,-0.028449666745333377,-0.019184020991419297
-0.08357550798807595,-0.0350628236953498,-0.02883942638892162,-0.019673257903804527
-0.08381301922715635,-0.03502735085100128,-0.029508140532630123,-0.019277527843524954
-0.08286332131313853,-0.03499802800771469,-0.028674739506215442,-0.01919055379920842
-0.08302099858256878,-0.03553268424950314,-0.02797928216826609,-0.019509032164799545
-0.08139885196406725,-0.03537973382392506,-0.027085931648176076,-0.0189331864919661
-0.08353619073116943,-0.03637671270279218,-0.0280245150486111,-0.019134962979766183
-0.0835263532286934,-0.03642386530287413,-0.02853265181992872,-0.018569836105890525
-0.0854044764561097,-0.03709376898004241,-0.029390203141450397,-0.018920504334616884
-0.08435826902640083,-0.03678812747032995,-0.02878156053311441,-0.018788581022956437
-0.08352336290573437,-0.0369062966614759,-0.02806781522736671,-0.018549251016891737
-0.08463392665872602,-0.0376875285864697,-0.028258270063700602,-0.018688128008555745
-0.084814498116057,-0.03812898031354761,-0.02842206846837319,-0.01826344933413618
-0.08597074711301753,-0.038935299013615435,-0.028825434471473572,-0.01821001362792856
-0.08602811038571966,-0.03926266279517823,-0.02870358467966705,-0.01806186291087438
-0.08616805396034163,-0.039591614574326715,-0.02843413809186674,-0.01814230129414824
-0.08657126858086005,-0.03985577368054962,-0.02835306077743243,-0.01836243412287802
-0.08694850257981726,-0.04038704647550482,-0.02823903983976756,-0.018322416264544887
-0.0863385516634955,-0.04046496325143582,-0.02771966769662712,-0.018153920715432544
-0.0866780666353196,-0.04101577262842214,-0.02751424864641131,-0.018148045360486163
-0.08642423261322008,-0.04123300363308426,-0.02723726846336745,-0.017953960516768383
-0.08799595381346698,-0.0419286374663389,-0.02768511777046624,-0.018382198576661842
-0.08804544447044385,-0.04221685097510889,-0.027468505615933954,-0.018360087879401014
-0.08886438459652388,-0.04252374513112175,-0.02785689889880818,-0.018483740566593958
-0.09023615178597308,-0.043212794499208756,-0.028401666660817025,-0.01862169062594731
-0.0900703470259189,-0.04350683632076315,-0.02840223553130459,-0.01816127517385114
-0.09264832235960833,-0.04476704042503477,-0.02932450803632875,-0.018556773898244835
-0.09288894108407432,-0.04516016034358131,-0.02956690823348552,-0.018161872507007522
-0.09431101157804381,-0.04582861337698648,-0.03017817169674345,-0.018304226504313865
-0.0945954317300402,-0.046086772411941944,-0.030323800917545336,-0.018184858400552964
-0.09548726247188585,-0.04660856191151964,-0.030504485850535293,-0.018374214709830868
-0.0966413429439259,-0.04741954437124932,-0.03063831636109641,-0.018583482211580224
-0.09631873400069083,-0.047798084972234076,-0.03034530109929809,-0.018175347929158668
-0.0972456113368034,-0.048535971751887695,-0.030549360548282688,-0.018160279036633024
-0.09981577901294261,-0.04969344794248555,-0.031394551725999136,-0.01872777934445793
-0.09870179591263181,-0.049406690011896744,-0.0312728370418937,-0.018022268858841357
-0.1013022644224125,-0.050367258656685995,-0.0321723888395511,-0.018762616926175396
