Intensity,R,G,B
0,0,0,0.00013205006613236508
0,0,0,0.0010181423137893483
0,0,0,0.0009621526232385554
0,0,0,0
0,0,0,0.0005469559778349398
0,0,0,0
0,0,0,0
0,0,0,0.0008408465124952018
0,0,0,0.0008479928777516549
0,0,0,0.0017273772964772616
0,0,0,0.0012552696627351513
0,0,0,0.001080650335999342
0,0,0,0.0007889800949466841
0,0,0,0.0016289895725264646
0.0012978274885831129,0,0,0.0044699763210509225
0,0,0,0.0034657588637011967
0,0,0,0.0026933369124096107
0,0,0,0.0018993997054105073
0,0,0,0.0013848375607923846
0,0,0,0.002297711685808553
0,0,0,0.0028270609228951762
0,0,0,0.002544307092889452
0,0,0,0.0023867468203047602
0,0,0,0.002451643030331057
0.00034211240088052874,0,0,0.004266819456129223
0.0012198954367631243,0,0,0.004925923300836323
0.00303490318262193,0,0,0.005770161884729563
0.005385065880591289,0,0,0.0067381940237578875
0,0,0,0.0038910311934222223
0,0,0,0.003290356638658648
0,0,0,0.002642654407298852
0,0,0,0.0034296707734789503
0,0,0,0.004183787720892292
0,0,0,0.0032455171426969374
0.002522814041342955,0,0,0.005881689335165544
0.003910342941850817,0,0,0.006673532597070403
0.005034772159921527,0,0,0.007327295001089869
0.0030395713525031218,0,0,0.005988419400652565
0.00139860555570704,0,0,0.004885358178939151
0,0,0,0.00387697760526505
0.0006606768416779693,0,0,0.0044363398322895785
0,0,0,0.0030145504060596663
0.0007557142283035959,0,0,0.0035129911471127352
0,0,0,0.0034017655104125327
0.0008781830500971671,0,0,0.004162200560656606
0,0,0,0.003976366484630425
0.00023779754805649395,0,0,0.004224072791014787
0,0,0,0.0036298674719444056
0.0002020497578465244,0,0,0.0035137064945787028
0.0015382082235920747,0,0,0.0043209469855194915
0.0018137956716561682,0,0,0.004886765012501473
0.0013576305537509464,0,0,0.004655230518993497
0.0018370655152895807,0,0,0.004451686825310816
0.0007644043310214704,0,0,0.0037887933868071128
0.0011725789265372502,0,0,0.0040081385795475225
0,0,0,0.003387958261586936
0.000054137778321847185,0,0,0.004113974289185876
0.0017982299763277185,0,0,0.005267917769096922
0.0027945490990407343,0,0,0.005510447269461361
0.003521321577053413,0,0,0.00537209794613621
0.0012468741678586179,0,0,0.004003902532072341
0.002431089019432363,0,0,0.004477384617017282
0.0037921951726714934,0,0,0.005264022317750253
0.003755114054646104,0,0,0.005746278042742459
0.004416378133016707,0,0,0.00627332880694139
0.003073814172741267,0,0,0.005369940649629874
0.002799990133851002,0,0,0.00499912629153413
0.004004630879995065,0,0,0.005601138854443265
0.003096859086372583,0,0,0.0056134907712199235
0.004157992025430296,0,0,0.00659357003269086
0.0027982155160067163,0,0,0.00611372190115643
0.0019348020546856581,0,0,0.005325226369451791
0.001459591843836719,0,0,0.0046421038618325305
0.0012705317138467093,0,0,0.004294436745943323
0.00275623858382959,0,0,0.005158374143295324
0.0009767527116305852,0,0,0.00466734982814776
0.0018218724318327384,0,0,0.005411906741373002
0.003006932468647444,0,0,0.006053605043144148
0.0032411397598099273,0,0,0.006007455648865363
0.004016707915919876,0,0,0.006318193060939704
0.0035055232128465147,0,0,0.006561747571802345
0.0019947216286836655,0,0,0.005548284465873476
0.0009511807606140538,0,0,0.004684809885634404
0.0000353367084368339,0,0,0.003918092713998029
0.0013229663873157715,0,0,0.004697179211285204
0.0013470742938052893,0,0,0.004980621098402426
0.002696696829024278,0,0,0.0059477855199541844
0.00295150931431927,0,0,0.006042630437810441
0.002117856592278089,0,0,0.005371654156152102
0.001357932482162233,0,0,0.004705321402650845
0.0007232734291179599,0,0,0.004290747349625989
0.0005040158753665397,0,0,0.004197395194994451
0.0017240549046294434,0,0,0.004934278786736163
0.00020495808755936762,0,0,0.004238370354252303
0.0009929692603871804,0,0,0.004389694220141443
0,0,0,0.0036807329503772135
0.0007873359923892126,0,0,0.004576410922258429
0.0021333146922546814,0,0,0.005590395489466278
0.002654883039574382,0,0,0.005854276120679264
0.003120926480644673,0,0,0.005850226932921063
0.003430312117568668,0,0,0.005978012217624212
0.0024857348941291213,0,0,0.005703660011525457
0.002071235819056036,0,0,0.005507991365148953
0,0,0,0.004310195547438136
0.00007643956486436121,0,0,0.004201068935145762
0,0,0,0.0038553452924775695
0,0,0,0.0034793149998009337
0,0,0,0.0024909714889625387
0,0,0,0.0022650407844646663
0.00010396330995741943,0,0,0.003491752201402732
0.00012129334149503512,0,0,0.0038348734184519735
0.0005257477988601517,0,0,0.004379814158687524
0,0,0,0.004200536830272453
0,0,0,0.003592754490969973
0,0,0,0.0038249841835218054
0,0,0,0.0030146785401856113
0,0,0,0.003465393598037065
0,0,0,0.0033319663930022093
0,0,0,0.0024021417204553377
0,0,0,0.002223224223279009
0,0,0,0.002389779031589788
0,0,0,0.0017956672872862824
0,0,0,0.0006913179861387057
0,0,0,0
0,0,0,0.0007813640732959176
0,0,0,0.0018902662401273883
0,0,0,0.0027221760026479025
0,0,0,0.002609803139498445
0,0,0,0.0026856101956977234
0,0,0,0.0029321360469283277
0,0,0,0.002596188236094518
0,0,0,0.0026071874149922597
0,0,0,0.0026716394337625154
0,0,0,0.002314632851934284
0,0,0,0.003094182139707826
0,0,0,0.0027220629030829738
0,0,0,0.002784415404174373
0,0,0,0.0018079918674849607
0,0,0,0.0005906086623261829
0,0,0,0.0008458393315860582
0,0,0,0.0006200963382515384
0,0,0,0.0017362616566037395
0,0,0,0.002189369657750545
0,0,0,0.002058264727305213
0,0,0,0.0026380039628377747
0,0,0,0.0021636413244493953
0,0,0,0.0015813062058727678
0,0,0,0.002140028223906104
0,0,0,0.0013056337233939078
0,0,0,0.0006427481164409943
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0.00026978016574686486
0,0,0,0.00006518673543522147
0,0,0,0.0009939561626774104
0,0,0,0.0014957132274799056
0,0,0,0.0016022227699752645
0,0,0,0.0019882530996661457
0,0,0,0.0003758026631260625
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0.00035815576593256626
0,0,0,0.0010724008322821332
0,0,0,0.001253989040118135
0,0,0,0.0013577160027046925
0,0,0,0.0016384656125616598
0,0,0,0.000906038566418417
0,0,0,0.00007047505004700166
0,0,0,0
0,0,0,0.00007328164006607796
0,0,0,0.0006568606843043862
0,0,0,0.0005803446570928558
0,0,0,0.0006921938590274401
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0.0012594969060149494
0,0,0,0.0011809165340724154
0,0,0,0.0007583417211878274
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
