Intensity,R,G,B
-0.06289782817779772,-0.07226506341465147,-0.007705812233263221,0.017073047470116988
-0.06041700756465616,-0.07122936144145307,-0.007206029990280256,0.018018383867077176
-0.06069078356423739,-0.071116084268934,-0.007763435014793887,0.01818873571949049
-0.05777269728322709,-0.06999948597051393,-0.007092301735333498,0.019319090422620342
-0.06321044170646424,-0.07251856399200857,-0.009499809697951334,0.018807931983495618
-0.06104292844338646,-0.07165595244477085,-0.008972470767117366,0.01958549476850175
-0.06097414502739788,-0.07067816393644898,-0.008696381378672902,0.018400400287724012
-0.06117742920929554,-0.07169712875126506,-0.009072386255397077,0.01959208579736657
-0.05977652198921131,-0.07179571676171355,-0.00848741310133816,0.020506607873840423
-0.06467991897628414,-0.0737429555050288,-0.01009636424438632,0.019159400773130966
-0.06365797601945922,-0.07424108839578572,-0.009846277291999543,0.020429389668326036
-0.06446695396355155,-0.07481190848895602,-0.009612755637830254,0.01995771016323476
-0.06727528234513165,-0.07644291389145828,-0.010358229731215439,0.01952586127754207
-0.06347795059309246,-0.07483878848219921,-0.008310641934969179,0.019671479824075955
-0.0693386396808703,-0.0774167662380068,-0.01016845586976206,0.018246582426898566
-0.06620112212856843,-0.0769283084152744,-0.008772823728739304,0.019500010015445296
-0.06738098505880748,-0.07714123263994235,-0.00879896455987756,0.01855921214101247
-0.06882373990021778,-0.07796280956407048,-0.009606794582054233,0.018745864245906955
-0.06403159164613559,-0.07614255514240414,-0.008396869916633298,0.020507833412901893
-0.06705661529147483,-0.07665339519083134,-0.009753337613999491,0.019350117513356007
-0.06604222626464727,-0.07665775892219918,-0.009859478129534888,0.020475010787086807
-0.06786374284452995,-0.0769821724402638,-0.010511366290918832,0.019629795886652694
-0.06790739895423274,-0.07728647362907053,-0.010248258874092774,0.019627333548930554
-0.06529069531240497,-0.077256580183569,-0.008840049001184291,0.020805933872348317
-0.07113021534978622,-0.07985836817029979,-0.01013374671780138,0.018861899538314932
-0.07007423740064014,-0.08006073523492521,-0.009852906781664277,0.01983940461594936
-0.07255796454331298,-0.08076543152924534,-0.010417790067277707,0.018625257053210078
-0.07607727189667501,-0.0830489102810463,-0.011437403416831936,0.01840904180120325
-0.0711105863738824,-0.08148419189321848,-0.009347451545841087,0.019721057065177197
-0.07449021326021979,-0.0825909492035021,-0.010739021278680032,0.01883975722196236
-0.07248458490373151,-0.0817995370873306,-0.010271487915108804,0.0195864400987079
-0.07305958065292381,-0.08238697478563925,-0.010763365372920441,0.020090759505635884
-0.07605323251061444,-0.08399941971008888,-0.011683178813294719,0.01962936601276919
-0.07356239474191312,-0.08348764332946533,-0.010185742485787762,0.020110991073339957
-0.07739149638078752,-0.08532300090995194,-0.011429421891918402,0.019360926421082832
-0.07666776159135075,-0.08532768116559665,-0.011050330890346974,0.019710250464592877
-0.07770412700042185,-0.08534497882940767,-0.01106808308450527,0.01870893491349111
-0.07739999926558719,-0.08544549858208586,-0.01110211761622485,0.019147616932723505
-0.07499809294731336,-0.08426375467796213,-0.010133091661266427,0.0193987533919152
-0.07880822821240686,-0.08581110063592261,-0.011892647855173272,0.018895520278689033
-0.07849969982990779,-0.08600142943829234,-0.011878305902537023,0.019380035510921587
-0.07936128443747473,-0.0865456650179551,-0.012284732493601826,0.019469113074082188
-0.08239198988908517,-0.08802184144645898,-0.013591245862795753,0.01922109742016954
-0.07960977877647568,-0.08693842120687059,-0.012358931479895682,0.01968757391029061
-0.08187873410948096,-0.08833546014329464,-0.013054467386137011,0.019511193419950695
-0.08081994190291937,-0.08826960171321188,-0.012419900662551268,0.019869560472843804
-0.08329485444020421,-0.08920104927622403,-0.013266040888062818,0.019172235724082637
-0.08531334775178231,-0.09025732639273898,-0.014219038748758489,0.019163017389715126
-0.08117418660274917,-0.08905353638766919,-0.012503185405366692,0.02038253519028674
-0.08579466093164198,-0.09104236978794544,-0.014023773438492898,0.019271482294796385
-0.08605164335655244,-0.09160428476293095,-0.013794459039130333,0.019347100445508827
-0.08686387658488523,-0.09230087873864612,-0.013668364905190682,0.019105367058951574
-0.08883108162138963,-0.0936774163324809,-0.014333235799772692,0.019179570510863955
-0.08633346917159351,-0.09261734590295342,-0.013687463119356237,0.01997133985071615
-0.08967280856887133,-0.09411367086925959,-0.01502375221835122,0.019464614518739515
-0.08869499402033425,-0.0941269077602772,-0.01463121824738621,0.020063131987329185
-0.08961248991238353,-0.09443512390056825,-0.014811951923254824,0.01963458591143956
-0.09104954326672801,-0.09546226449733315,-0.015440847529376814,0.019853568759981958
-0.09102794713747217,-0.0956494748758312,-0.015078647558376977,0.019700175296736004
-0.09371154332383035,-0.09719447878963738,-0.015857880367236163,0.01934081583304321
-0.09461149626574508,-0.09786433191314638,-0.016267872392088677,0.01952070803948992
-0.09341538477239028,-0.09775357827381365,-0.01543672148180212,0.01977491498322551
-0.09716476719165187,-0.10023462934925764,-0.016708106040532265,0.019777968198138016
-0.0956862982929721,-0.1001887451891036,-0.0157444213579798,0.02024686825411129
-0.09960957569035651,-0.1020274834226786,-0.017113346003826205,0.019531253736148273
-0.09801051099328816,-0.1017531243470392,-0.01660894567293393,0.02035155902668498
-0.09874057157462741,-0.10208242520256984,-0.016738603282147595,0.02008045691009003
-0.10111475482163915,-0.10378609125826163,-0.01764914225084551,0.020320478687467957
-0.10040709181258978,-0.1039830693272837,-0.01707414375148031,0.020650121266174208
-0.1038203187884094,-0.10577887944840461,-0.0181890792291311,0.02014763988912628
-0.10334224500313152,-0.10603470037928023,-0.018069715989406814,0.02076217136555551
-0.10446768500613637,-0.10661257635412139,-0.01847200572306293,0.02061689707104798
-0.10492977884862868,-0.10731424915610872,-0.019015118374900643,0.0213995886823807
-0.10297608058199353,-0.10633484329859724,-0.01808369505204494,0.021442457768648657
-0.1074403362988159,-0.108036847002044,-0.019987232679266546,0.020583743382494617
-0.10707174923569165,-0.10860843874487272,-0.0205203097919818,0.022056999301162845
-0.10930003544121625,-0.10958570989193003,-0.021126246065919084,0.02141192051663287
-0.1128413718254903,-0.11213771304370179,-0.02237054778866371,0.021666889006875207
-0.11167169684049033,-0.11268138058158153,-0.0212706072309575,0.022280290972048686
-0.11400073448401982,-0.11430917674259225,-0.021617780885257926,0.021926223143830352
-0.11378812296518134,-0.1146742612013246,-0.021394789458085567,0.02228092769422884
-0.11487292948957302,-0.11511548624414111,-0.02191068078737115,0.022153237541939225
-0.11535781341263468,-0.11557467855785916,-0.022324423491218118,0.022541288636442655
-0.11320729908412115,-0.11474480845401,-0.021063628442666703,0.02260113781255558
-0.11542170886004582,-0.11614602100466034,-0.021823512641360968,0.022547824785975508
-0.11477675495070777,-0.11638441184081674,-0.021435294452638018,0.023042951342746986
-0.11679053265793676,-0.11725553877201073,-0.021956527642675257,0.022421533756749226
-0.1199374611747689,-0.11915923987978616,-0.023291401489881854,0.02251318019489911
-0.1182316141875872,-0.11890154725928301,-0.022355378489533742,0.023025311561229517
